CMA-ES 
 Population =  30 
 Mutants =  20 

Epochs 		 Cost 		
0 		 125.55416487724918 		
5 		 60.49136083839096 		
10 		 32.230900722674775 		
15 		 12.643626523140462 		
20 		 2.6531220468354397 		
25 		 1.1683996256530322 		
30 		 1.1645779487895596 		
35 		 1.16229288586704 		
40 		 1.157095561986895 		
45 		 1.140142865411496 		
50 		 1.1334995665483814 		
55 		 1.1335109897194802 		
60 		 1.133543915000269 		
65 		 1.1334994648949195 		
70 		 1.1335008110962972 		
75 		 1.1334991450987721 		
80 		 1.1334985652754923 		
85 		 1.1334984723507666 		
90 		 1.1334984642421548 		
95 		 1.1334984459030937 		
100 		 1.1334983986379505 		
105 		 1.1334982913485376 		
110 		 1.1334980276319102 		
115 		 1.1334965475401328 		
120 		 1.1334832037972822 		
125 		 1.1334686398205551 		
130 		 1.13345191189907 		
135 		 1.1334470504909873 		
140 		 1.1334435478654519 		
145 		 1.133442332630145 		
150 		 1.1334415820162522 		
155 		 1.1334411930280814 		
160 		 1.133440935932253 		
165 		 1.133440957301568 		
170 		 1.1334408543441636 		
175 		 1.1334408379283207 		
180 		 1.1334408280636976 		
185 		 1.1334408190669425 		
190 		 1.1334408167255257 		
195 		 1.1334408156842715 		
200 		 1.1334408152368827 		
205 		 1.1334408150364157 		
210 		 1.133440814978911 		
215 		 1.1334408149706368 		
220 		 1.133440814964993 		
225 		 1.1334408149644817 		
230 		 1.133440814962062 		
235 		 1.133440814954909 		
240 		 1.1334408149358934 		
245 		 1.1334408148560675 		
250 		 1.1334408145503219 		
255 		 1.133440814151654 		
260 		 1.1334408140333359 		
265 		 1.1334408138685195 		
270 		 1.1334408137051215 		
275 		 1.13344081362568 		
280 		 1.1334408135975549 		
285 		 1.1334408135496197 		
290 		 1.1334408134837923 		
295 		 1.133440813377463 		
300 		 1.133440813244236 		
305 		 1.133440813070494 		
310 		 1.1334408127401179 		
315 		 1.1334408124534232 		
320 		 1.133440811907044 		
325 		 1.1334408112034657 		
330 		 1.1334408103558837 		
335 		 1.1334408091104746 		
340 		 1.1334408072253195 		
345 		 1.1334408032203633 		
350 		 1.1334407952221026 		
355 		 1.1334407811539329 		
360 		 1.1334407593038573 		
365 		 1.1334407371129847 		
370 		 1.1334407131435515 		
375 		 1.1334406701914688 		
380 		 1.1334406094228036 		
385 		 1.1334405828095113 		
390 		 1.1334405420023255 		
395 		 1.1334404754803091 		
400 		 1.1334404041651265 		
405 		 1.133440334164928 		
410 		 1.1334402861804478 		
415 		 1.1334402238886094 		
420 		 1.1334401806803864 		
425 		 1.1334401085042811 		
430 		 1.1334400046088866 		
435 		 1.1334399253533656 		
440 		 1.1334398645559567 		
445 		 1.1334398126896297 		
450 		 1.133439758587271 		
455 		 1.133439723663884 		
460 		 1.133439689701189 		
465 		 1.1334396601325691 		
470 		 1.1334396341668582 		
475 		 1.1334396088903103 		
480 		 1.1334395812596847 		
485 		 1.1334393814635069 		
490 		 1.1334156477031707 		
495 		 1.1331338280898615 		
500 		 1.1326814022512985 		
505 		 1.1324786556927848 		
510 		 1.1324541756566116 		
515 		 1.132426195095096 		
520 		 1.1323464130734033 		
525 		 1.1322837631053342 		
530 		 1.132282569468723 		
535 		 1.1322779821062043 		
540 		 1.1320358897092582 		
545 		 1.1318730069535434 		
550 		 1.1317573514804713 		
555 		 1.1315995027310273 		
560 		 1.1314792374502254 		
565 		 1.1312013329548418 		
570 		 1.1309956404540464 		
575 		 1.1309155749758097 		
580 		 1.1308501010033951 		
585 		 1.1308029672020519 		
590 		 1.1307936565563048 		
595 		 1.130779657276615 		
600 		 1.1307329436026274 		
605 		 1.1305714356215844 		
610 		 1.1301874746463938 		
615 		 1.1294078332786543 		
620 		 1.128394271260611 		
625 		 1.1268361622047673 		
630 		 1.1219567936132138 		
635 		 1.1133643749931799 		
640 		 1.1030225069212436 		
645 		 1.0983565837746236 		
650 		 1.0945566269599551 		
655 		 1.0858942911484168 		
660 		 1.066096966759947 		
665 		 1.0405612175880028 		
670 		 1.0275444115973111 		
675 		 1.0188352889800494 		
680 		 1.0122426961701791 		
685 		 1.0011427203056624 		
690 		 0.9777716570394451 		
695 		 0.9403407747269441 		
700 		 0.876314540038219 		
705 		 0.8177124853668084 		
710 		 0.7686370895552239 		
715 		 0.7220258803906878 		
720 		 0.6920721329150081 		
725 		 0.6795777470528556 		
730 		 0.6702606913177992 		
735 		 0.6498283798194281 		
740 		 0.6282306001471213 		
745 		 0.608806105663851 		
750 		 0.5814279417731444 		
755 		 0.5728228941751893 		
760 		 0.5702312228887516 		
765 		 0.5636185668980366 		
770 		 0.5608089659426071 		
775 		 0.5604968346625243 		
780 		 0.5593440642172239 		
785 		 0.5534171566525243 		
790 		 0.5406684120557522 		
795 		 0.48007048535944646 		
800 		 0.3828529207779452 		
805 		 0.33317345698969064 		
810 		 0.31414697592023877 		
815 		 0.3056124724561844 		
820 		 0.2939343035604958 		
825 		 0.28637395333637355 		
830 		 0.2843641189635405 		
835 		 0.2822952158497478 		
840 		 0.27828141048413035 		
845 		 0.2726909447037209 		
850 		 0.26117086045660465 		
855 		 0.2479581993402683 		
860 		 0.23319674486867287 		
865 		 0.2191845952850944 		
870 		 0.1765116243371195 		
875 		 0.15952640675210356 		
880 		 0.14321342153746852 		
885 		 0.12304271312597746 		
890 		 0.10478997713791353 		
895 		 0.10377337169010258 		
900 		 0.10290880109399614 		
905 		 0.1020196959109753 		
910 		 0.10124678198301548 		
915 		 0.10087148708458755 		
920 		 0.10080839940765192 		
925 		 0.10062582420357287 		
